number_of_features,execution_times,fitness,idle_times,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
12300,10.0341,0.5556,46.2097,1.2415,0.3364,0.6168,1.0,1082,ranking,1000,rbtree,linear
12200,9.9682,0.546,46.2757,1.2058,0.3357,0.6219,1.0,1082,ranking,1000,rbtree,linear
12600,10.453,0.5556,45.7909,1.2927,0.3582,0.6066,1.0,1082,ranking,1000,rbtree,linear
12900,10.3351,0.5001,45.9087,1.2422,0.3425,0.5344,1.0,1082,ranking,1000,rbtree,linear
13000,10.325,0.5044,45.9188,1.2267,0.3656,0.5488,1.0,1082,ranking,1000,rbtree,linear
12800,10.2656,0.5767,45.9782,1.2511,0.3425,0.6008,1.0,1082,ranking,1000,rbtree,linear
12700,10.2736,0.5051,45.9702,1.207,0.3716,0.5305,1.0,1082,ranking,1000,rbtree,linear
13100,10.3284,0.464,45.9154,1.2411,0.3513,0.5123,1.0,1082,ranking,1000,rbtree,linear
13400,10.8777,0.5749,45.3662,1.3458,0.4021,0.6142,1.0,1082,ranking,1000,rbtree,linear
13500,11.2221,0.5717,45.0217,1.3592,0.4238,0.6262,1.0,1082,ranking,1000,rbtree,linear
13200,10.7871,0.5621,45.4567,1.3061,0.3845,0.6336,1.0,1082,ranking,1000,rbtree,linear
13300,10.6939,0.5703,45.5499,1.3288,0.3654,0.6232,1.0,1082,ranking,1000,rbtree,linear
13700,10.992,0.4758,49.3535,1.3355,0.396,0.5316,1.0,1082,ranking,1000,rbtree,linear
13600,10.8981,0.4673,49.4473,1.3062,0.3882,0.5154,1.0,1082,ranking,1000,rbtree,linear
13800,11.1364,0.479,49.209,1.3572,0.414,0.5148,1.0,1082,ranking,1000,rbtree,linear
13900,11.0404,0.556,49.3051,1.3744,0.3795,0.6366,1.0,1082,ranking,1000,rbtree,linear
14000,11.2752,0.506,49.0703,1.3488,0.4199,0.5435,1.0,1082,ranking,1000,rbtree,linear
14200,11.2292,0.4402,49.1162,1.3639,0.3766,0.4953,1.0,1082,ranking,1000,rbtree,linear
14300,11.4481,0.4773,48.8973,1.3884,0.4464,0.5091,1.0,1082,ranking,1000,rbtree,linear
14100,11.6898,0.5755,48.6556,1.4696,0.4192,0.6217,1.0,1082,ranking,1000,rbtree,linear
14400,11.4342,0.4855,48.9113,1.398,0.4119,0.5173,1.0,1082,ranking,1000,rbtree,linear
14500,11.3933,0.4787,48.9521,1.3921,0.3956,0.5304,1.0,1082,ranking,1000,rbtree,linear
14700,11.7062,0.5771,48.6393,1.4331,0.4117,0.6341,1.0,1082,ranking,1000,rbtree,linear
14600,11.4672,0.4814,48.8782,1.409,0.3977,0.5312,1.0,1082,ranking,1000,rbtree,linear
14800,11.5557,0.4934,48.7897,1.3936,0.4283,0.5363,1.0,1082,ranking,1000,rbtree,linear
14900,11.5462,0.5568,48.7992,1.432,0.3859,0.634,1.0,1082,ranking,1000,rbtree,linear
15000,11.7048,0.4822,48.6406,1.4141,0.4424,0.5265,1.0,1082,ranking,1000,rbtree,linear
15300,12.1837,0.475,54.5265,1.4999,0.4316,0.5236,1.0,1082,ranking,1000,rbtree,linear
15100,11.849,0.5703,54.8612,1.4995,0.4211,0.6366,1.0,1082,ranking,1000,rbtree,linear
15400,12.1525,0.4977,54.5577,1.4899,0.4402,0.5428,1.0,1082,ranking,1000,rbtree,linear
15500,12.3037,0.568,54.4065,1.5257,0.4538,0.6129,1.0,1082,ranking,1000,rbtree,linear
15200,12.0911,0.4929,54.6191,1.4863,0.4442,0.5305,1.0,1082,ranking,1000,rbtree,linear
15600,12.1943,0.4885,54.5159,1.4835,0.4706,0.5379,1.0,1082,ranking,1000,rbtree,linear
15900,12.5312,0.561,54.179,1.5646,0.4634,0.6108,1.0,1082,ranking,1000,rbtree,linear
16000,12.7962,0.5692,53.914,1.5683,0.4823,0.6289,1.0,1082,ranking,1000,rbtree,linear
15800,12.4654,0.4844,54.2448,1.491,0.4968,0.5282,1.0,1082,ranking,1000,rbtree,linear
15700,12.1771,0.4919,54.5331,1.4851,0.4242,0.5267,1.0,1082,ranking,1000,rbtree,linear
16200,12.7426,0.4858,53.9676,1.5433,0.4922,0.5332,1.0,1082,ranking,1000,rbtree,linear
16300,12.8037,0.4341,53.9065,1.5826,0.4807,0.4977,1.0,1082,ranking,1000,rbtree,linear
16100,12.8023,0.5662,53.9078,1.5696,0.4895,0.6258,1.0,1082,ranking,1000,rbtree,linear
16400,13.1786,0.4802,53.5316,1.6681,0.5078,0.5339,1.0,1082,ranking,1000,rbtree,linear
16500,12.781,0.4825,53.9292,1.5332,0.5041,0.5166,1.0,1082,ranking,1000,rbtree,linear
16700,13.5292,0.4781,125.7921,1.6488,0.5177,0.5278,1.0,1082,ranking,1000,rbtree,linear
16600,13.6329,0.4891,125.6885,1.65,0.5215,0.5345,1.0,1082,ranking,1000,rbtree,linear
16800,14.0043,0.4623,125.3171,1.7013,0.554,0.5238,1.0,1082,ranking,1000,rbtree,linear
16900,13.8659,0.4897,125.4555,1.6651,0.4919,0.5413,1.0,1082,ranking,1000,rbtree,linear
17000,13.7262,0.4795,125.5951,1.6692,0.5353,0.5332,1.0,1082,ranking,1000,rbtree,linear
17100,13.247,0.4757,126.0743,1.6438,0.4952,0.5306,1.0,1082,ranking,1000,rbtree,linear
17400,13.8244,0.4769,125.497,1.6671,0.4837,0.5213,1.0,1082,ranking,1000,rbtree,linear
17500,13.8457,0.4734,125.4757,1.7254,0.4699,0.5154,1.0,1082,ranking,1000,rbtree,linear
17300,14.1518,0.4674,125.1695,1.7159,0.5354,0.5161,1.0,1082,ranking,1000,rbtree,linear
17200,14.2674,0.475,125.054,1.7235,0.5241,0.5304,1.0,1082,ranking,1000,rbtree,linear
17700,14.1281,0.5698,125.1933,1.7628,0.569,0.6254,1.0,1082,ranking,1000,rbtree,linear
17600,13.3942,0.4781,125.9272,1.6144,0.4891,0.527,1.0,1082,ranking,1000,rbtree,linear
17800,13.5514,0.4754,125.77,1.6581,0.4931,0.5325,1.0,1082,ranking,1000,rbtree,linear
17900,13.4037,0.47,125.9176,1.6287,0.4898,0.5248,1.0,1082,ranking,1000,rbtree,linear
18000,13.7954,0.4771,125.526,1.7271,0.501,0.5137,1.0,1082,ranking,1000,rbtree,linear
18100,13.444,0.4827,64.7329,1.6502,0.4771,0.5258,1.0,1082,ranking,1000,rbtree,linear
18400,14.2262,0.4741,63.9506,1.7811,0.5509,0.5329,1.0,1082,ranking,1000,rbtree,linear
18500,14.2533,0.4704,63.9235,1.7521,0.5813,0.5237,1.0,1082,ranking,1000,rbtree,linear
18200,13.7844,0.5682,64.3924,1.7288,0.4856,0.6383,1.0,1082,ranking,1000,rbtree,linear
18300,14.0658,0.5692,64.111,1.7614,0.5097,0.6292,1.0,1082,ranking,1000,rbtree,linear
18700,14.3121,0.4739,63.8647,1.7819,0.5615,0.5253,1.0,1082,ranking,1000,rbtree,linear
18800,14.3441,0.4702,63.8327,1.8247,0.566,0.5302,1.0,1082,ranking,1000,rbtree,linear
18600,14.193,0.4794,63.9838,1.7374,0.5674,0.5324,1.0,1082,ranking,1000,rbtree,linear
18900,14.2078,0.4824,63.969,1.7935,0.4987,0.5322,1.0,1082,ranking,1000,rbtree,linear
19000,14.3272,0.4724,63.8496,1.7735,0.5387,0.5253,1.0,1082,ranking,1000,rbtree,linear
19300,14.5085,0.4844,63.6683,1.7925,0.5372,0.5352,1.0,1082,ranking,1000,rbtree,linear
19200,14.5577,0.4763,63.6191,1.784,0.5679,0.5318,1.0,1082,ranking,1000,rbtree,linear
19100,14.3455,0.4772,63.8313,1.8143,0.5318,0.5317,1.0,1082,ranking,1000,rbtree,linear
19400,15.2275,0.4789,62.9493,1.8912,0.6269,0.5346,1.0,1082,ranking,1000,rbtree,linear
19500,14.9386,0.4605,63.2382,1.8551,0.5628,0.5259,1.0,1082,ranking,1000,rbtree,linear
19600,14.8945,0.4752,35.4477,1.9115,0.5704,0.5323,1.0,1082,ranking,1000,rbtree,linear
19700,16.043,0.4787,34.2992,1.9837,0.6008,0.5328,1.0,1082,ranking,1000,rbtree,linear
19900,14.7957,0.4757,35.5465,1.879,0.5187,0.5332,1.0,1082,ranking,1000,rbtree,linear
19800,15.0404,0.4756,35.3018,1.8538,0.6125,0.533,1.0,1082,ranking,1000,rbtree,linear
20000,16.5244,0.4763,33.8179,2.0196,0.5858,0.5331,1.0,1082,ranking,1000,rbtree,linear
300,2.2024,0.5643,26.0014,0.1731,0.0125,0.5935,1.0,1082,ranking,1000,rbtree,linear
100,2.1503,0.5718,26.0535,0.1261,0.0072,0.5548,1.0,1082,ranking,1000,rbtree,linear
400,2.5376,0.5638,25.6662,0.1804,0.0151,0.6004,1.0,1082,ranking,1000,rbtree,linear
500,2.549,0.5648,25.6548,0.1905,0.0195,0.6219,1.0,1082,ranking,1000,rbtree,linear
200,2.3595,0.5616,25.8444,0.1552,0.0111,0.6251,1.0,1082,ranking,1000,rbtree,linear
600,2.3827,0.5753,25.8211,0.1883,0.0226,0.597,1.0,1082,ranking,1000,rbtree,linear
900,2.5536,0.4689,25.6502,0.2009,0.0295,0.5079,1.0,1082,ranking,1000,rbtree,linear
1000,2.5467,0.5878,25.6572,0.1966,0.0293,0.5763,1.0,1082,ranking,1000,rbtree,linear
700,2.401,0.5693,25.8028,0.1881,0.022,0.6313,1.0,1082,ranking,1000,rbtree,linear
800,3.0352,0.4591,25.1686,0.1895,0.0261,0.5158,1.4,1082,ranking,1000,rbtree,linear
1100,2.8577,0.5753,25.3462,0.2385,0.0344,0.6153,1.0,1082,ranking,1000,rbtree,linear
1400,3.1162,0.5812,25.0876,0.2525,0.0414,0.5993,1.0,1082,ranking,1000,rbtree,linear
1500,3.3298,0.5715,24.874,0.2995,0.0487,0.6183,1.0,1082,ranking,1000,rbtree,linear
1200,2.9783,0.5323,25.2255,0.2265,0.0395,0.5247,1.0,1082,ranking,1000,rbtree,linear
1300,2.9934,0.5492,25.2105,0.2269,0.0374,0.5484,1.0,1082,ranking,1000,rbtree,linear
1600,2.9759,0.5653,17.7572,0.268,0.0442,0.594,1.0,1082,ranking,1000,rbtree,linear
1900,3.444,0.5389,17.2891,0.3605,0.0592,0.6313,1.0,1082,ranking,1000,rbtree,linear
2000,3.1996,0.4336,17.5335,0.2874,0.0602,0.4871,1.0,1082,ranking,1000,rbtree,linear
1800,3.0492,0.3715,17.6839,0.2669,0.0516,0.4473,1.0,1082,ranking,1000,rbtree,linear
1700,3.089,0.4961,17.6442,0.2723,0.0635,0.55,1.0,1082,ranking,1000,rbtree,linear
2100,3.317,0.4246,17.4161,0.2996,0.0623,0.4936,1.0,1082,ranking,1000,rbtree,linear
2400,3.4948,0.4645,17.2383,0.3202,0.0682,0.4743,1.0,1082,ranking,1000,rbtree,linear
2500,3.7142,0.5658,17.0189,0.3714,0.0815,0.6059,1.0,1082,ranking,1000,rbtree,linear
2300,3.347,0.4667,17.3862,0.3132,0.0598,0.5032,1.0,1082,ranking,1000,rbtree,linear
2200,3.5388,0.4248,17.1943,0.3186,0.0686,0.4974,1.0,1082,ranking,1000,rbtree,linear
2600,3.5602,0.5126,17.173,0.3335,0.0731,0.5207,1.0,1082,ranking,1000,rbtree,linear
2900,3.7648,0.3982,16.9683,0.3554,0.0831,0.5398,1.0,1082,ranking,1000,rbtree,linear
3000,3.9111,0.4786,16.822,0.383,0.0828,0.487,1.0,1082,ranking,1000,rbtree,linear
2800,3.6871,0.4229,17.046,0.357,0.0802,0.4997,1.0,1082,ranking,1000,rbtree,linear
2700,3.7512,0.5354,16.982,0.3905,0.0753,0.6145,1.0,1082,ranking,1000,rbtree,linear
3100,4.0941,0.5528,21.943,0.4347,0.0927,0.6106,1.0,1082,ranking,1000,rbtree,linear
3400,4.1331,0.5601,21.904,0.4237,0.0967,0.619,1.0,1082,ranking,1000,rbtree,linear
3500,4.2498,0.5044,21.7874,0.4282,0.1016,0.4962,1.0,1082,ranking,1000,rbtree,linear
3200,4.226,0.5794,21.8112,0.4479,0.0906,0.6294,1.0,1082,ranking,1000,rbtree,linear
3300,4.2496,0.5822,21.7876,0.4341,0.0922,0.6075,1.0,1082,ranking,1000,rbtree,linear
3600,4.5385,0.554,21.4987,0.4971,0.1096,0.6077,1.0,1082,ranking,1000,rbtree,linear
3900,4.5055,0.4702,21.5316,0.4636,0.1082,0.4766,1.0,1082,ranking,1000,rbtree,linear
4000,4.56,0.5478,21.4772,0.4805,0.1076,0.6089,1.0,1082,ranking,1000,rbtree,linear
3800,4.4924,0.5616,21.5448,0.4706,0.1028,0.6135,1.0,1082,ranking,1000,rbtree,linear
3700,4.3552,0.4574,21.682,0.4297,0.0974,0.4684,1.0,1082,ranking,1000,rbtree,linear
4100,4.7887,0.5432,21.2485,0.5371,0.1156,0.6525,1.0,1082,ranking,1000,rbtree,linear
4400,4.8426,0.5908,21.1946,0.5132,0.1152,0.6335,1.0,1082,ranking,1000,rbtree,linear
4500,4.9025,0.4991,21.1346,0.5015,0.1229,0.5237,1.0,1082,ranking,1000,rbtree,linear
4200,4.741,0.4222,21.2962,0.4859,0.1166,0.442,1.0,1082,ranking,1000,rbtree,linear
4300,4.7232,0.5576,21.314,0.4863,0.1173,0.5863,1.0,1082,ranking,1000,rbtree,linear
4600,5.0225,0.5775,27.5746,0.5489,0.1239,0.5924,1.0,1082,ranking,1000,rbtree,linear
4900,5.0686,0.4837,27.5285,0.5165,0.1379,0.5029,1.0,1082,ranking,1000,rbtree,linear
5000,5.3076,0.5705,27.2895,0.5705,0.1522,0.5901,1.0,1082,ranking,1000,rbtree,linear
4700,5.0358,0.5523,27.5614,0.535,0.131,0.5957,1.0,1082,ranking,1000,rbtree,linear
4800,5.2739,0.4066,27.3232,0.5434,0.1412,0.5638,1.0,1082,ranking,1000,rbtree,linear
5100,5.2725,0.5492,27.3246,0.5628,0.1454,0.6073,1.0,1082,ranking,1000,rbtree,linear
5400,5.5332,0.503,27.0639,0.5846,0.1514,0.5248,1.0,1082,ranking,1000,rbtree,linear
