23/09/15 15:11:03 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
INFO:root:Metaheuristic results will be saved in "/home/big_data/data/paper-binary-black-hole-algorithm/Results/BBHA_1694790673_5066526/result_2023-09-15_15_11_13.csv"
INFO:root:Metrics will be saved in JSON files (one per iteration) inside folder "Results/BBHA_1694790673_5066526"
INFO:root:Running 10 independent runs of the BBHA experiment with 25 iterations and 60 stars
INFO:root:Metric: log-likelihood | Model: clustering | Parameters: 2_clusters_kmeans_algorithm_log-likelihood_score_method | Random state: 13
INFO:root:Survival dataset: "Breast_Invasive_Carcinoma"
INFO:root:	Samples (rows): 1082 | Features (columns): 19727
INFO:root:	Y shape: 1082
INFO:root:Fitness function with 19727 features: 5.047074794769287 seconds | Log Likelihood (higher is better): -0.7886867366168692
INFO:root:Fitness function with all the features finished in 5.0907957553863525 seconds
INFO:root:log-likelihood with all the features: -0.7886867366168692
INFO:root:Running normal algorithm 
INFO:root:Independent run 1/10
INFO:root:Initializing stars...
INFO:root:Fitness function with 11469 features: 2.815021276473999 seconds | Log Likelihood (higher is better): -0.7886869152330056
INFO:root:Fitness function with 9145 features: 2.2152836322784424 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 6996 features: 2.0280144214630127 seconds | Log Likelihood (higher is better): -0.7886834205813995
INFO:root:Fitness function with 8275 features: 2.755553722381592 seconds | Log Likelihood (higher is better): -0.7878376653455588
INFO:root:Fitness function with 9684 features: 2.355074644088745 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Changing Black hole for star 11, BH fitness -> -0.7866380665020002 | Star 11 fitness -> -0.7866380665020001
INFO:root:Fitness function with 6553 features: 1.7341480255126953 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Changing Black hole for star 12, BH fitness -> -0.7866380665020001 | Star 12 fitness -> -0.7866380665020001
INFO:root:Fitness function with 6384 features: 1.847071886062622 seconds | Log Likelihood (higher is better): -0.7886424476735298
INFO:root:Fitness function with 10163 features: 2.257106304168701 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 8600 features: 2.1116340160369873 seconds | Log Likelihood (higher is better): -0.7886834205813995
INFO:root:Fitness function with 5852 features: 1.7329330444335938 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Changing Black hole for star 16, BH fitness -> -0.7866380665020001 | Star 16 fitness -> -0.7866380665020001
INFO:root:Fitness function with 10980 features: 2.519134283065796 seconds | Log Likelihood (higher is better): -0.7886834205813995
INFO:root:Fitness function with 5361 features: 1.722074270248413 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 11227 features: 2.0921685695648193 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 3940 features: 1.5086610317230225 seconds | Log Likelihood (higher is better): -0.788538155159829
INFO:root:Fitness function with 6950 features: 2.076014995574951 seconds | Log Likelihood (higher is better): -0.7885426944785854
INFO:root:Fitness function with 11096 features: 2.304234266281128 seconds | Log Likelihood (higher is better): -0.7886869152330056
INFO:root:Fitness function with 7133 features: 1.7026805877685547 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Fitness function with 7189 features: 1.956958293914795 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 11397 features: 2.8330206871032715 seconds | Log Likelihood (higher is better): -0.7886869152330056
INFO:root:Fitness function with 8572 features: 1.8760266304016113 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 4286 features: 1.454326868057251 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 6607 features: 1.570512056350708 seconds | Log Likelihood (higher is better): -0.7870690162988693
INFO:root:Fitness function with 9896 features: 2.7317700386047363 seconds | Log Likelihood (higher is better): -0.7878376653455567
INFO:root:Fitness function with 11459 features: 3.3564531803131104 seconds | Log Likelihood (higher is better): -0.7878376653455588
INFO:root:Fitness function with 10011 features: 2.6620841026306152 seconds | Log Likelihood (higher is better): -0.7878376653455588
INFO:root:Fitness function with 4133 features: 1.5254991054534912 seconds | Log Likelihood (higher is better): -0.7886026004987432
INFO:root:Fitness function with 8796 features: 2.223721981048584 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 4168 features: 1.2573487758636475 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Changing Black hole for star 34, BH fitness -> -0.7866380665020001 | Star 34 fitness -> -0.7866380665020001
INFO:root:Fitness function with 4122 features: 1.4560976028442383 seconds | Log Likelihood (higher is better): -0.7885076591610157
INFO:root:Fitness function with 6565 features: 1.870419979095459 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Fitness function with 4717 features: 1.7369751930236816 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 5243 features: 1.6267929077148438 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Fitness function with 10736 features: 2.633897066116333 seconds | Log Likelihood (higher is better): -0.7884983068331275
INFO:root:Fitness function with 6491 features: 1.6525158882141113 seconds | Log Likelihood (higher is better): -0.7886834205813995
INFO:root:Fitness function with 10243 features: 3.1166985034942627 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 7922 features: 2.1681792736053467 seconds | Log Likelihood (higher is better): -0.788068633333623
INFO:root:Fitness function with 5551 features: 1.5229947566986084 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 4390 features: 1.592811107635498 seconds | Log Likelihood (higher is better): -0.7866380665020002
INFO:root:Fitness function with 5943 features: 1.4834389686584473 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 5405 features: 1.623213291168213 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 10488 features: 2.9686119556427 seconds | Log Likelihood (higher is better): -0.7884430863872305
INFO:root:Fitness function with 4500 features: 1.6374731063842773 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 6707 features: 1.7810492515563965 seconds | Log Likelihood (higher is better): -0.7866380665020002
INFO:root:Fitness function with 6239 features: 1.8006064891815186 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Fitness function with 5270 features: 1.7964098453521729 seconds | Log Likelihood (higher is better): -0.7886841068840698
INFO:root:Fitness function with 6554 features: 1.6170389652252197 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 7277 features: 1.7942829132080078 seconds | Log Likelihood (higher is better): -0.7866380665020002
INFO:root:Fitness function with 9732 features: 2.133467435836792 seconds | Log Likelihood (higher is better): -0.7866967423648574
INFO:root:Fitness function with 8543 features: 2.0405614376068115 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 10773 features: 2.169734239578247 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 4705 features: 1.6283631324768066 seconds | Log Likelihood (higher is better): -0.7885085378426742
INFO:root:Fitness function with 10683 features: 2.848145008087158 seconds | Log Likelihood (higher is better): -0.7884298537258693
INFO:root:Fitness function with 8491 features: 2.1338932514190674 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Iteration 3/25
INFO:root:Fitness function with 3368 features: 1.3182177543640137 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 4567 features: 1.2617042064666748 seconds | Log Likelihood (higher is better): -0.7866380665020002
INFO:root:Fitness function with 6046 features: 2.096477508544922 seconds | Log Likelihood (higher is better): -0.7866380665020002
INFO:root:Fitness function with 4300 features: 1.6257421970367432 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 5910 features: 2.0822689533233643 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 4722 features: 1.2182369232177734 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Fitness function with 5708 features: 1.9536058902740479 seconds | Log Likelihood (higher is better): -0.7886451382730117
INFO:root:Fitness function with 6428 features: 1.8624720573425293 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 5337 features: 1.6139965057373047 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Fitness function with 4578 features: 1.486546277999878 seconds | Log Likelihood (higher is better): -0.7886855839255723
INFO:root:Fitness function with 5132 features: 1.7610929012298584 seconds | Log Likelihood (higher is better): -0.7880961358682774
INFO:root:Fitness function with 5634 features: 2.0914196968078613 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Fitness function with 4380 features: 1.5599229335784912 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 4392 features: 1.2948691844940186 seconds | Log Likelihood (higher is better): -0.7871076656847883
INFO:root:Fitness function with 5923 features: 1.5112740993499756 seconds | Log Likelihood (higher is better): -0.7866380665020001
INFO:root:Fitness function with 5269 features: 1.5339100360870361 seconds | Log Likelihood (higher is better): -0.7886834205813995
INFO:root:Fitness function with 4088 features: 1.201988935470581 seconds | Log Likelihood (higher is better): -0.7866380665020002
INFO:root:Fitness function with 6297 features: 1.658930778503418 seconds | Log Likelihood (higher is better): -0.7871076656847883
