Number of features,Number of samples,Execution time,Fitness,Train score,Test time,Number of iterations,Time by iteration,Max iterations,Optimizer,Kernel
25,100,2.2353,0.6966,0.0,0.0032,16,0.0073,1000,avltree,1
24,100,2.1129,0.7255,0.0,0.0027,13,0.0073,1000,avltree,1
20,100,2.0337,0.6838,0.0,0.0061,12,0.0073,1000,avltree,1
18,100,2.2242,0.719,0.0,0.0031,12,0.0063,1000,avltree,1
20,100,2.2091,0.7797,0.0,0.0026,11,0.0066,1000,avltree,1
21,100,2.1043,0.6945,0.0,0.0027,12,0.0052,1000,avltree,1
24,100,2.1368,0.7627,0.0,0.0052,13,0.0064,1000,avltree,1
19,100,2.1932,0.6811,0.0,0.003,13,0.0047,1000,avltree,1
14,100,2.1231,0.4731,0.0,0.0029,10,0.0047,1000,avltree,1
19,100,2.2126,0.4642,0.0,0.0028,14,0.0054,1000,avltree,1
20,100,2.114,0.6044,0.0,0.0028,13,0.0062,1000,avltree,1
27,100,2.2125,0.8405,0.0,0.0028,14,0.0094,1000,avltree,1
21,100,2.213,0.717,0.0,0.003,14,0.0065,1000,avltree,1
22,100,2.135,0.718,0.0,0.0055,14,0.009,1000,avltree,1
18,100,2.0297,0.7375,0.0,0.003,12,0.0054,1000,avltree,1
22,100,2.0284,0.6954,0.0,0.0031,14,0.0053,1000,avltree,1
23,100,2.118,0.7193,0.0,0.0044,13,0.0064,1000,avltree,1
22,100,2.0734,0.8121,0.0,0.0029,12,0.0058,1000,avltree,1
20,100,2.0123,0.7748,0.0,0.0031,14,0.0078,1000,avltree,1
22,100,2.1844,0.7839,0.0,0.0031,14,0.008,1000,avltree,1
19,100,2.0904,0.7358,0.0,0.0024,13,0.0052,1000,avltree,1
16,100,2.0907,0.573,0.0,0.0028,12,0.0047,1000,avltree,1
23,100,2.2489,0.4857,0.0,0.003,14,0.0059,1000,avltree,1
19,100,1.924,0.5462,0.0,0.0034,11,0.0076,1000,avltree,1
21,100,2.1392,0.7179,0.0,0.003,14,0.0075,1000,avltree,1
22,100,1.2126,0.7709,0.0,0.0022,15,0.0036,1000,avltree,1
16,100,1.1487,0.6842,0.0,0.0021,11,0.0029,1000,avltree,1
23,100,1.2736,0.6125,0.0,0.0024,14,0.0054,1000,avltree,1
20,100,1.1784,0.6808,0.0,0.002,12,0.0034,1000,avltree,1
18,100,1.196,0.7822,0.0,0.0022,11,0.0028,1000,avltree,1
12,100,1.1848,0.6068,0.0,0.002,9,0.0029,1000,avltree,1
21,100,1.1706,0.6246,0.0,0.0022,13,0.0038,1000,avltree,1
20,100,1.2133,0.6897,0.0,0.0021,14,0.0034,1000,avltree,1
23,100,1.1924,0.6595,0.0,0.0022,14,0.0035,1000,avltree,1
18,100,1.1681,0.5782,0.0,0.0021,11,0.0032,1000,avltree,1
26,100,1.2299,0.75,0.0,0.0025,15,0.006,1000,avltree,1
