Number of features,Number of samples,Execution time,Fitness,Train score,Test time,Number of trees
652,149,1.5054,0.6012,0.0,0.017,10
6745,149,2.054,0.5923,0.0,0.0654,10
5161,149,1.9613,0.6417,0.0,0.0409,10
7921,149,2.1112,0.5607,0.0,0.0586,10
9900,149,2.2579,0.5881,0.0,0.0951,10
6249,149,2.033,0.5444,0.0,0.0508,10
8484,149,2.1541,0.6086,0.0,0.0706,10
3784,149,1.8738,0.5542,0.0,0.0414,10
30,149,1.3666,0.5226,0.0,0.0102,10
953,149,1.6146,0.5836,0.0,0.0177,10
570,149,1.4691,0.6056,0.0,0.0132,10
5928,149,2.019,0.5465,0.0,0.0541,10
13868,149,2.4362,0.6273,0.0,0.099,10
10730,149,2.3082,0.5958,0.0,0.0824,10
7895,149,2.1476,0.5186,0.0,0.0714,10
8246,149,2.1494,0.5525,0.0,0.067,10
7803,149,2.1226,0.5585,0.0,0.0615,10
10257,149,2.2417,0.5882,0.0,0.0849,10
6938,149,2.0921,0.5865,0.0,0.0572,10
10259,149,2.2957,0.5638,0.0,0.0827,10
7607,149,2.1311,0.5655,0.0,0.0692,10
6850,149,2.0747,0.5713,0.0,0.0621,10
6204,149,2.0769,0.5787,0.0,0.0639,10
10071,149,2.2874,0.5829,0.0,0.0764,10
9786,149,2.2658,0.5611,0.0,0.0769,10
9138,149,2.2195,0.5278,0.0,0.0791,10
8875,149,2.2122,0.6484,0.0,0.0613,10
7188,149,2.0855,0.5855,0.0,0.0564,10
7780,149,2.1479,0.5771,0.0,0.0735,10
9985,149,2.2596,0.5426,0.0,0.0706,10
9787,149,2.2236,0.5715,0.0,0.069,10
6694,149,2.0616,0.577,0.0,0.0518,10
9858,149,2.2287,0.5878,0.0,0.0685,10
9440,149,2.2071,0.6214,0.0,0.0774,10
9486,149,2.2308,0.6205,0.0,0.0729,10
8971,149,2.1965,0.5884,0.0,0.0658,10
7449,149,2.1449,0.5791,0.0,0.0596,10
9518,149,2.2478,0.5869,0.0,0.0803,10
7868,149,2.1121,0.5642,0.0,0.0668,10
8707,149,2.2151,0.6203,0.0,0.0766,10
7811,149,2.1592,0.5922,0.0,0.0592,10
10620,149,2.2678,0.552,0.0,0.0726,10
6727,149,2.0863,0.6342,0.0,0.0591,10
10054,149,2.278,0.5864,0.0,0.0808,10
6731,149,2.0851,0.5843,0.0,0.0582,10
6392,149,2.0438,0.6055,0.0,0.0563,10
10297,149,2.2795,0.6209,0.0,0.0793,10
6210,149,2.0332,0.5898,0.0,0.0507,10
9457,149,2.2469,0.5861,0.0,0.073,10
9965,149,2.222,0.5679,0.0,0.0747,10
8206,149,2.1712,0.59,0.0,0.0659,10
8210,149,2.1256,0.601,0.0,0.0549,10
6392,149,2.0271,0.6414,0.0,0.0509,10
7775,149,2.1296,0.5714,0.0,0.0586,10
10043,149,2.2292,0.5423,0.0,0.0948,10
6520,149,2.0568,0.5694,0.0,0.0538,10
13544,149,2.3944,0.6534,0.0,0.0848,10
9748,149,2.2332,0.594,0.0,0.075,10
10652,149,2.2423,0.5679,0.0,0.0869,10
10666,149,2.2959,0.6035,0.0,0.0871,10
8684,149,2.152,0.5546,0.0,0.0717,10
10503,149,2.2871,0.6225,0.0,0.082,10
8513,149,2.1319,0.5728,0.0,0.0707,10
9851,149,2.2462,0.5647,0.0,0.0906,10
8397,149,2.1358,0.622,0.0,0.0613,10
8894,149,2.1817,0.5611,0.0,0.0797,10
7372,149,2.1011,0.615,0.0,0.0632,10
9353,149,2.2027,0.6115,0.0,0.0662,10
6904,149,2.2019,0.6195,0.0,0.0587,10
9434,149,2.1989,0.5974,0.0,0.0732,10
8512,149,2.1345,0.5709,0.0,0.0624,10
7832,149,2.1164,0.5981,0.0,0.0666,10
9384,149,2.2512,0.5634,0.0,0.0829,10
7186,149,2.0887,0.6203,0.0,0.0572,10
7564,149,2.097,0.5913,0.0,0.0587,10
8803,149,2.1226,0.59,0.0,0.079,10
6761,149,2.0337,0.5582,0.0,0.055,10
9422,149,2.1971,0.5584,0.0,0.0703,10
6173,149,2.0083,0.6061,0.0,0.049,10
6263,149,2.0412,0.6505,0.0,0.0462,10
8295,149,2.1125,0.5625,0.0,0.0638,10
9579,149,2.2133,0.55,0.0,0.0689,10
8802,149,2.1893,0.5818,0.0,0.0649,10
9958,149,2.2342,0.6432,0.0,0.0776,10
9398,149,2.2335,0.6427,0.0,0.0809,10
8706,149,2.1562,0.6068,0.0,0.073,10
6424,149,2.1029,0.5311,0.0,0.0528,10
6072,149,1.9978,0.6455,0.0,0.0514,10
9415,149,2.2082,0.6523,0.0,0.0739,10
9123,149,2.1779,0.588,0.0,0.0649,10
6144,149,2.0122,0.5881,0.0,0.0634,10
8089,149,2.1565,0.599,0.0,0.0617,10
7587,149,2.1294,0.5935,0.0,0.0657,10
8602,149,2.1594,0.6456,0.0,0.0646,10
9075,149,2.1646,0.5393,0.0,0.0777,10
7965,149,2.1582,0.5886,0.0,0.0575,10
