Number of features,Number of samples,Execution time,Fitness,Train score,Number of clusters,Algorithm,Scoring method
8361,403,0.6039,0.5653,0.0,2,1,1
6220,403,0.4852,0.5674,0.0,2,1,1
582,510,0.111,0.7149,0.0,2,1,1
197,403,0.0821,0.5358,0.0,2,1,1
959,510,0.1596,0.7292,0.0,2,1,1
1358,582,0.1867,0.5063,0.0,2,1,1
122,403,0.0735,0.5716,0.0,2,1,1
4080,510,0.3604,0.6137,0.0,2,1,1
142,403,0.0771,0.5899,0.0,2,1,1
1108,582,0.1498,0.5063,0.0,2,1,1
866,510,0.139,0.7203,0.0,2,1,1
1214,582,0.2274,0.5439,0.0,2,1,1
673,403,0.1115,0.5616,0.0,2,1,1
947,582,0.162,0.5428,0.0,2,1,1
98,403,0.0798,0.5884,0.0,2,1,1
2266,582,0.2858,0.5063,0.0,2,1,1
138,403,0.0744,0.5818,0.0,2,1,1
726,510,0.1134,0.6069,0.0,2,1,1
740,510,0.1227,0.724,0.0,2,1,1
2610,582,0.3142,0.5063,0.0,2,1,1
3312,582,0.3983,0.5063,0.0,2,1,1
218,403,0.089,0.5673,0.0,2,1,1
470,403,0.093,0.5484,0.0,2,1,1
125,403,0.0772,0.5584,0.0,2,1,1
640,403,0.1052,0.5544,0.0,2,1,1
3059,510,0.2752,0.6097,0.0,2,1,1
1093,510,0.1461,0.7287,0.0,2,1,1
5574,510,0.3917,0.6089,0.0,2,1,1
113,403,0.0788,0.5876,0.0,2,1,1
2308,582,0.2933,0.5059,0.0,2,1,1
1926,510,0.2098,0.613,0.0,2,1,1
106,403,0.0717,0.5802,0.0,2,1,1
328,403,0.0873,0.5789,0.0,2,1,1
2070,510,0.2171,0.6907,0.0,2,1,1
174,403,0.0793,0.5776,0.0,2,1,1
1016,582,0.1772,0.5437,0.0,2,1,1
940,582,0.1482,0.5517,0.0,2,1,1
473,510,0.1021,0.7194,0.0,2,1,1
115,403,0.0752,0.5824,0.0,2,1,1
926,582,0.1512,0.5063,0.0,2,1,1
865,510,0.1424,0.7206,0.0,2,1,1
943,582,0.1702,0.5079,0.0,2,1,1
741,403,0.1088,0.5615,0.0,2,1,1
1687,582,0.1942,0.5063,0.0,2,1,1
1002,582,0.1511,0.5456,0.0,2,1,1
108,403,0.0718,0.5621,0.0,2,1,1
1488,510,0.1926,0.6178,0.0,2,1,1
1264,510,0.1431,0.62,0.0,2,1,1
567,510,0.1005,0.7367,0.0,2,1,1
1522,510,0.195,0.6073,0.0,2,1,1
419,510,0.1041,0.7386,0.0,2,1,1
849,403,0.1087,0.5607,0.0,2,1,1
466,510,0.0979,0.7373,0.0,2,1,1
946,582,0.1672,0.5194,0.0,2,1,1
1081,582,0.1892,0.5157,0.0,2,1,1
929,582,0.1751,0.5344,0.0,2,1,1
1309,582,0.1925,0.5063,0.0,2,1,1
1066,510,0.1452,0.6917,0.0,2,1,1
1051,510,0.1592,0.6191,0.0,2,1,1
1324,510,0.155,0.6072,0.0,2,1,1
2206,582,0.2509,0.5063,0.0,2,1,1
1035,582,0.1703,0.5063,0.0,2,1,1
96,403,0.0809,0.5752,0.0,2,1,1
985,582,0.1566,0.5226,0.0,2,1,1
449,510,0.1019,0.7422,0.0,2,1,1
1544,582,0.2187,0.5063,0.0,2,1,1
980,582,0.1463,0.5063,0.0,2,1,1
584,510,0.1111,0.7362,0.0,2,1,1
2648,510,0.2434,0.6121,0.0,2,1,1
1518,582,0.2082,0.5063,0.0,2,1,1
103,403,0.0722,0.5886,0.0,2,1,1
949,582,0.1736,0.5535,0.0,2,1,1
2157,582,0.278,0.5063,0.0,2,1,1
1809,582,0.214,0.5063,0.0,2,1,1
6819,582,1.0931,0.5063,0.0,2,1,1
