number_of_features,execution_times,fitness,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
14100,29.25,0.6562,0.2652,0.4367,1.0,26.6,1082,ranking,1000,avltree,rbf
14200,26.3954,0.6654,0.2619,0.3791,0.9999,26.8,1082,ranking,1000,avltree,rbf
14400,29.8428,0.6549,0.2739,0.3988,1.0,28.4,1082,ranking,1000,avltree,rbf
14500,28.6355,0.6532,0.2667,0.4242,1.0,26.7,1082,ranking,1000,avltree,rbf
14600,28.957,0.6605,0.2774,0.3796,0.9999,28.4,1082,ranking,1000,avltree,rbf
14900,27.6136,0.6428,0.2783,0.4161,0.9999,26.2,1082,ranking,1000,avltree,rbf
15000,26.468,0.6611,0.2645,0.4072,1.0,24.7,1082,ranking,1000,avltree,rbf
14700,29.0686,0.6446,0.2771,0.4302,1.0,27.3,1082,ranking,1000,avltree,rbf
14800,27.5086,0.6594,0.2694,0.43,0.9999,26.5,1082,ranking,1000,avltree,rbf
15300,32.1816,0.6769,0.2865,0.4295,1.0,29.0,1082,ranking,1000,avltree,rbf
15200,29.2627,0.6711,0.2719,0.4348,0.9999,28.1,1082,ranking,1000,avltree,rbf
15100,27.2999,0.6517,0.2802,0.4325,0.9999,25.6,1082,ranking,1000,avltree,rbf
15400,29.3,0.6611,0.2703,0.4453,0.9999,26.9,1082,ranking,1000,avltree,rbf
15500,27.5057,0.656,0.2645,0.4429,1.0,26.4,1082,ranking,1000,avltree,rbf
15600,30.8135,0.6729,0.2888,0.433,0.9999,28.0,1082,ranking,1000,avltree,rbf
15900,27.4502,0.652,0.2544,0.4586,0.9999,24.6,1082,ranking,1000,avltree,rbf
16000,29.123,0.6568,0.2791,0.4265,0.9999,27.5,1082,ranking,1000,avltree,rbf
15800,30.7451,0.663,0.2844,0.4423,0.9999,28.0,1082,ranking,1000,avltree,rbf
15700,29.3887,0.6602,0.2643,0.4574,1.0,26.4,1082,ranking,1000,avltree,rbf
16200,30.1106,0.6611,0.2781,0.4747,1.0,28.7,1082,ranking,1000,avltree,rbf
16300,28.9153,0.6552,0.2762,0.4491,0.9999,27.3,1082,ranking,1000,avltree,rbf
16100,29.6724,0.6509,0.2782,0.4369,1.0,27.8,1082,ranking,1000,avltree,rbf
16400,32.026,0.6705,0.283,0.5093,1.0,29.0,1082,ranking,1000,avltree,rbf
16500,30.6922,0.664,0.2724,0.4665,0.9999,27.7,1082,ranking,1000,avltree,rbf
16700,28.4675,0.6567,0.2751,0.4325,0.9999,27.5,1082,ranking,1000,avltree,rbf
16600,30.8114,0.6811,0.269,0.4774,0.9999,28.1,1082,ranking,1000,avltree,rbf
16900,30.0423,0.6646,0.2797,0.4846,0.9999,27.2,1082,ranking,1000,avltree,rbf
17000,27.763,0.6593,0.2678,0.4849,0.9999,25.2,1082,ranking,1000,avltree,rbf
